login_attempts_last_5m,distinct_users_from_ip_last_5m,hour_of_day,day_of_week,is_attack
1,1,12,4,0
3,1,12,3,0
1,1,11,0,0
1,1,17,1,0
1,1,11,4,0
1,1,19,5,0
2,1,16,1,0
2,1,14,2,0
1,1,9,0,0
1,1,22,1,0
1,1,11,4,0
1,1,7,4,0
2,1,17,4,0
3,1,10,2,0
1,1,9,2,0
1,1,19,4,0
1,1,17,0,0
1,1,13,3,0
1,1,17,6,0
99,1,1,4,1
1,1,7,4,0
69,1,17,1,1
1,1,8,3,0
2,1,21,2,0
1,1,22,1,0
35,41,20,0,1
1,1,12,3,0
1,1,16,2,0
23,27,23,3,1
1,1,16,4,0
43,45,5,0,1
1,1,8,4,0
1,1,20,2,0
1,1,12,0,0
1,1,10,1,0
1,1,10,3,0
1,1,18,3,0
1,1,12,2,0
1,1,16,3,0
1,1,18,0,0
2,1,4,2,0
1,1,10,1,0
1,1,18,4,0
2,1,18,2,0
1,1,17,0,0
1,1,20,2,0
1,1,2,4,0
1,1,8,4,0
82,2,17,1,1
2,1,16,3,0
1,1,13,0,0
1,1,8,1,0
1,1,15,4,0
2,1,18,6,0
1,1,19,2,0
1,1,9,4,0
1,1,11,4,0
2,1,17,3,0
62,1,2,6,1
1,1,8,2,0
1,1,11,2,0
1,1,11,4,0
1,1,4,2,0
1,1,2,0,0
1,1,13,0,0
1,1,9,1,0
1,1,14,2,0
17,2,1,5,1
8,1,4,6,1
50,1,22,6,1
1,1,17,2,0
1,1,13,0,0
46,1,19,4,1
18,1,4,5,1
1,1,13,2,0
3,1,12,1,0
1,1,10,3,0
9,2,2,6,1
1,1,10,2,0
1,1,15,3,0
1,1,15,1,0
1,1,17,3,0
1,1,18,2,0
1,1,18,0,0
1,1,9,4,0
1,1,6,1,0
1,1,13,3,0
10,1,3,6,1
2,1,12,4,0
2,1,9,4,0
1,1,9,2,0
1,1,15,3,0
18,4,21,5,1
53,2,15,5,1
1,1,16,1,0
1,1,19,1,0
1,1,11,0,0
87,2,9,3,1
1,1,1,6,0
1,1,20,2,0
13,41,6,6,1
1,1,16,4,0
34,36,20,0,1
1,1,16,1,0
77,1,12,5,1
2,1,2,1,0
1,1,10,4,0
2,1,19,0,0
1,1,19,0,0
1,1,16,0,0
2,1,19,2,0
1,1,13,2,0
10,44,6,1,1
1,1,9,3,0
1,1,9,3,0
2,1,10,0,0
1,1,9,0,0
11,5,4,5,1
1,1,18,6,0
1,1,15,2,0
1,1,12,2,0
48,35,2,3,1
1,1,1,1,0
1,1,17,1,0
1,1,10,1,0
1,1,15,4,0
17,1,4,4,1
1,1,16,0,0
20,29,22,1,1
1,1,18,1,0
1,1,15,0,0
30,30,21,4,1
1,1,18,1,0
5,3,3,5,1
2,1,19,3,0
1,1,15,2,0
1,1,19,0,0
1,1,16,3,0
1,1,11,3,0
59,1,3,6,1
59,1,4,6,1
9,4,0,5,1
16,4,6,6,1
1,1,6,4,0
1,1,12,3,0
1,1,12,3,0
1,1,10,1,0
1,1,13,2,0
2,1,16,5,0
1,1,12,2,0
1,1,17,2,0
1,1,12,4,0
1,1,15,2,0
1,1,12,0,0
63,2,12,6,1
1,1,11,0,0
1,1,8,1,0
1,1,12,1,0
2,1,4,4,0
37,13,1,6,1
9,5,1,5,1
28,1,5,3,1
25,34,4,6,1
2,1,16,1,0
1,1,13,3,0
33,16,3,3,1
52,1,20,4,1
2,1,17,4,0
1,1,12,2,0
6,4,5,5,1
1,1,11,1,0
1,1,15,3,0
1,1,13,4,0
3,1,8,1,0
1,1,21,0,0
23,15,4,4,1
2,1,15,3,0
25,43,20,6,1
1,1,20,0,0
1,1,10,0,0
1,1,16,3,0
1,1,3,2,0
1,1,10,4,0
32,46,4,6,1
2,1,8,5,0
1,1,15,0,0
1,1,16,3,0
1,1,15,1,0
3,1,14,2,0
44,47,4,2,1
26,45,23,0,1
1,1,16,1,0
1,1,22,1,0
1,1,21,0,0
2,1,15,5,0
2,1,12,0,0
1,1,10,2,0
1,1,10,1,0
1,1,11,2,0
1,1,17,2,0
1,1,10,6,0
2,1,11,5,0
2,1,9,3,0
1,1,11,2,0
2,1,10,1,0
1,1,10,6,0
2,1,14,1,0
41,38,3,0,1
1,1,9,4,0
1,1,23,2,0
14,1,22,5,1
1,1,18,5,0
1,1,12,3,0
1,1,14,2,0
1,1,19,2,0
3,1,13,3,0
1,1,18,3,0
72,1,15,1,1
1,1,8,1,0
1,1,16,0,0
32,48,6,3,1
1,1,12,3,0
1,1,11,2,0
2,1,8,3,0
11,18,3,4,1
1,1,17,2,0
1,1,9,4,0
1,1,10,0,0
1,1,9,1,0
1,1,16,6,0
1,1,10,1,0
1,1,16,0,0
2,1,13,1,0
2,1,18,3,0
1,1,9,2,0
1,1,19,3,0
1,1,9,6,0
9,1,3,5,1
28,47,0,0,1
37,16,22,1,1
1,1,2,0,0
1,1,8,1,0
1,1,16,0,0
2,1,16,4,0
1,1,9,5,0
1,1,11,0,0
1,1,18,2,0
1,1,15,3,0
1,1,14,3,0
1,1,17,0,0
1,1,17,0,0
1,1,17,5,0
1,1,16,3,0
27,19,4,1,1
1,1,11,2,0
1,1,8,1,0
1,1,14,3,0
1,1,10,1,0
1,1,14,4,0
1,1,12,3,0
16,4,0,5,1
2,1,17,3,0
1,1,8,0,0
2,1,11,1,0
1,1,10,2,0
9,3,22,5,1
1,1,15,1,0
2,1,8,0,0
35,33,20,0,1
59,1,15,6,1
1,1,18,2,0
1,1,12,2,0
1,1,11,1,0
1,1,14,3,0
1,1,19,4,0
1,1,8,0,0
2,1,15,3,0
1,1,8,3,0
1,1,14,2,0
1,1,12,1,0
1,1,15,0,0
1,1,20,1,0
3,1,17,4,0
2,1,10,0,0
1,1,12,2,0
1,1,11,0,0
1,1,9,0,0
1,1,20,3,0
2,1,18,2,0
1,1,12,2,0
1,1,13,1,0
1,1,16,1,0
1,1,15,1,0
1,1,12,4,0
12,5,21,5,1
1,1,10,5,0
1,1,2,1,0
15,38,3,4,1
1,1,11,5,0
1,1,10,2,0
1,1,9,4,0
1,1,15,2,0
1,1,17,4,0
48,50,1,0,1
18,42,23,2,1
1,1,9,1,0
1,1,19,0,0
1,1,14,4,0
1,1,8,2,0
1,1,15,0,0
1,1,14,1,0
1,1,9,4,0
1,1,8,0,0
1,1,13,2,0
14,2,22,5,1
1,1,12,0,0
1,1,17,3,0
1,1,18,4,0
1,1,10,2,0
1,1,14,1,0
1,1,13,5,0
3,1,15,4,0
5,1,20,6,1
3,1,18,4,0
2,1,9,3,0
1,1,19,3,0
1,1,9,1,0
1,1,23,2,0
1,1,19,4,0
95,1,21,2,1
1,1,15,0,0
1,1,14,2,0
1,1,14,1,0
52,1,8,6,1
1,1,18,1,0
1,1,8,2,0
1,1,15,2,0
1,1,7,6,0
1,1,16,4,0
1,1,7,0,0
1,1,11,1,0
1,1,9,1,0
35,12,5,2,1
1,1,13,4,0
1,1,17,3,0
2,1,22,6,0
1,1,12,3,0
1,1,3,2,0
7,3,5,6,1
1,1,13,1,0
2,1,11,1,0
1,1,19,3,0
3,1,15,0,0
34,48,6,0,1
1,1,11,3,0
1,1,8,4,0
1,1,19,0,0
10,4,0,5,1
2,1,15,1,0
1,1,18,3,0
1,1,11,0,0
83,1,9,2,1
43,1,23,2,1
1,1,15,4,0
1,1,14,2,0
1,1,16,1,0
1,1,10,0,0
1,1,13,3,0
1,1,10,2,0
1,1,10,3,0
3,1,16,6,0
1,1,19,3,0
2,1,16,3,0
1,1,12,3,0
1,1,8,1,0
1,1,19,0,0
1,1,11,6,0
85,1,7,1,1
1,1,8,2,0
3,1,8,1,0
1,1,17,2,0
1,1,19,2,0
2,1,2,3,0
1,1,10,4,0
1,1,17,3,0
1,1,12,3,0
1,1,8,6,0
1,1,2,0,0
3,1,19,0,0
2,1,11,6,0
1,1,16,4,0
3,1,6,2,0
1,1,17,1,0
55,1,6,6,1
1,1,11,1,0
1,1,8,1,0
2,1,14,3,0
1,1,9,2,0
1,1,8,2,0
1,1,14,1,0
15,5,7,6,1
10,5,1,6,1
1,1,18,4,0
15,2,3,2,1
1,1,17,0,0
1,1,14,1,0
1,1,10,2,0
1,1,2,6,0
12,21,7,1,1
49,1,18,1,1
89,1,8,0,1
1,1,19,2,0
1,1,1,0,0
1,1,13,4,0
3,1,6,3,0
1,1,15,4,0
1,1,4,4,0
99,1,19,6,1
1,1,8,1,0
1,1,14,2,0
52,2,2,1,1
1,1,15,5,0
1,1,12,2,0
2,1,8,4,0
2,1,19,4,0
16,1,14,2,1
26,1,23,0,1
15,5,6,5,1
1,1,19,0,0
1,1,6,1,0
1,1,11,3,0
17,1,6,6,1
1,1,19,3,0
88,1,19,2,1
1,1,14,1,0
1,1,15,2,0
1,1,19,5,0
1,1,19,3,0
1,1,17,2,0
1,1,17,2,0
10,2,5,6,1
1,1,18,2,0
2,1,14,1,0
39,1,5,3,1
2,1,17,3,0
34,1,10,4,1
2,1,9,4,0
1,1,9,1,0
1,1,14,2,0
1,1,17,2,0
2,1,12,3,0
3,1,20,4,0
15,47,23,5,1
1,1,9,4,0
1,1,11,1,0
1,1,15,5,0
1,1,17,5,0
14,2,5,5,1
2,1,9,0,0
2,1,21,0,0
2,1,12,0,0
1,1,13,5,0
1,1,10,3,0
1,1,17,3,0
1,1,19,0,0
2,1,14,2,0
17,2,0,6,1
1,1,14,2,0
26,34,2,3,1
1,1,22,3,0
47,42,5,5,1
1,1,8,2,0
1,1,14,1,0
3,1,17,0,0
2,1,8,2,0
1,1,11,3,0
2,1,12,1,0
24,1,13,3,1
1,1,21,1,0
1,1,13,4,0
1,1,17,2,0
1,1,15,4,0
31,1,5,1,1
25,34,2,6,1
1,1,2,1,0
88,1,13,6,1
1,1,9,3,0
73,1,2,2,1
1,1,18,3,0
1,1,9,0,0
1,1,12,3,0
1,1,10,3,0
1,1,3,3,0
1,1,19,4,0
1,1,8,4,0
2,1,2,4,0
1,1,9,4,0
1,1,14,0,0
1,1,10,3,0
2,1,12,2,0
1,1,11,5,0
20,4,3,5,1
3,1,6,3,0
1,1,18,2,0
2,1,12,0,0
1,1,19,2,0
3,1,19,3,0
1,1,13,1,0
1,1,10,1,0
3,1,6,4,0
1,1,13,4,0
1,1,19,3,0
1,1,18,6,0
2,1,17,4,0
1,1,15,6,0
26,2,22,0,1
3,1,19,6,0
1,1,7,2,0
3,1,5,0,0
1,1,17,5,0
1,1,18,3,0
1,1,9,1,0
1,1,15,0,0
83,1,12,5,1
1,1,13,1,0
2,1,11,2,0
8,4,21,6,1
1,1,17,3,0
1,1,17,0,0
1,1,19,5,0
2,1,18,2,0
1,1,17,6,0
1,1,16,0,0
14,4,21,6,1
1,1,16,3,0
1,1,16,2,0
14,5,20,5,1
20,4,21,6,1
2,1,5,0,0
2,1,13,3,0
22,16,2,5,1
1,1,9,4,0
1,1,15,2,0
85,1,9,3,1
22,48,5,1,1
2,1,12,3,0
1,1,16,4,0
1,1,10,5,0
3,1,16,2,0
1,1,4,0,0
1,1,14,2,0
49,20,6,4,1
1,1,13,3,0
1,1,19,0,0
1,1,8,3,0
35,13,3,4,1
1,1,11,1,0
1,1,8,4,0
24,1,22,6,1
1,1,19,2,0
84,1,6,1,1
2,1,10,0,0
1,1,10,4,0
2,1,10,0,0
2,1,13,0,0
2,1,9,0,0
1,1,19,4,0
1,1,13,5,0
85,1,6,5,1
1,1,0,0,0
1,1,16,2,0
1,1,18,3,0
1,1,16,1,0
1,1,14,0,0
1,1,8,0,0
35,1,2,5,1
1,1,18,3,0
1,1,9,0,0
1,1,12,6,0
1,1,18,2,0
1,1,10,5,0
1,1,20,3,0
1,1,2,4,0
40,1,21,1,1
1,1,19,4,0
1,1,12,3,0
1,1,15,1,0
1,1,9,6,0
57,1,8,5,1
2,1,4,0,0
1,1,16,5,0
1,1,10,2,0
2,1,9,2,0
11,4,6,6,1
1,1,17,4,0
1,1,12,3,0
1,1,12,0,0
2,1,16,1,0
1,1,18,3,0
1,1,13,2,0
3,1,12,6,0
51,1,21,1,1
1,1,20,0,0
2,1,18,2,0
1,1,14,4,0
3,1,16,4,0
1,1,13,1,0
2,1,9,2,0
3,1,17,3,0
1,1,3,1,0
1,1,19,3,0
1,1,16,2,0
2,1,14,1,0
1,1,19,1,0
2,1,19,2,0
1,1,8,4,0
1,1,18,3,0
1,1,17,3,0
15,4,3,5,1
1,1,12,1,0
20,2,5,5,1
2,1,16,2,0
3,1,12,3,0
1,1,13,4,0
19,3,20,6,1
1,1,20,4,0
1,1,16,0,0
2,1,18,4,0
94,1,9,1,1
1,1,14,4,0
1,1,12,3,0
46,23,4,4,1
1,1,15,2,0
1,1,18,2,0
2,1,15,3,0
1,1,18,4,0
1,1,14,4,0
1,1,16,4,0
50,1,14,2,1
1,1,15,2,0
1,1,16,0,0
2,1,22,4,0
1,1,4,1,0
1,1,9,1,0
1,1,17,2,0
1,1,8,3,0
1,1,10,1,0
1,1,16,1,0
1,1,14,4,0
27,1,1,5,1
3,1,10,1,0
1,1,13,2,0
1,1,9,2,0
1,1,8,1,0
1,1,8,0,0
10,4,21,6,1
2,1,18,5,0
1,1,14,3,0
1,1,16,1,0
2,1,2,0,0
1,1,14,4,0
84,1,16,5,1
14,3,5,6,1
1,1,12,2,0
2,1,8,1,0
2,1,17,2,0
1,1,22,1,0
15,12,1,4,1
1,1,14,4,0
1,1,15,4,0
1,1,14,1,0
1,1,15,3,0
1,1,13,2,0
40,32,6,1,1
1,1,10,1,0
1,1,15,0,0
43,1,10,1,1
1,1,9,0,0
1,1,16,4,0
2,1,16,4,0
2,1,8,3,0
2,1,4,6,0
1,1,16,5,0
2,1,19,4,0
1,1,17,3,0
1,1,17,4,0
1,1,14,0,0
1,1,18,4,0
61,1,9,0,1
2,1,14,4,0
3,1,13,1,0
1,1,18,0,0
1,1,9,0,0
32,39,1,5,1
58,1,2,0,1
1,1,19,3,0
1,1,14,4,0
39,1,2,6,1
1,1,8,1,0
1,1,8,3,0
8,3,1,6,1
1,1,16,6,0
1,1,15,6,0
1,1,9,6,0
1,1,15,1,0
1,1,15,3,0
1,1,17,3,0
2,1,12,0,0
1,1,11,4,0
2,1,11,1,0
1,1,3,3,0
1,1,14,0,0
1,1,13,3,0
3,1,16,6,0
21,1,21,0,1
1,1,10,3,0
1,1,15,4,0
2,1,10,5,0
1,1,8,0,0
1,1,14,6,0
76,1,20,0,1
1,1,10,2,0
22,46,23,0,1
35,14,7,5,1
17,1,5,5,1
54,1,5,0,1
1,1,15,2,0
1,1,13,3,0
1,1,17,2,0
1,1,18,2,0
1,1,8,5,0
1,1,6,5,0
1,1,11,3,0
1,1,8,2,0
1,1,15,1,0
1,1,15,4,0
1,1,10,0,0
2,1,12,2,0
1,1,18,6,0
1,1,3,6,0
1,1,13,2,0
1,1,15,0,0
2,1,18,2,0
1,1,13,2,0
98,1,12,0,1
2,1,18,1,0
1,1,12,5,0
45,33,22,6,1
1,1,17,5,0
2,1,9,0,0
1,1,8,4,0
2,1,9,1,0
1,1,11,3,0
2,1,19,1,0
2,1,11,6,0
1,1,11,0,0
1,1,11,6,0
1,1,11,2,0
21,38,5,2,1
2,1,8,4,0
1,1,9,3,0
1,1,4,4,0
99,1,14,0,1
2,1,8,1,0
1,1,19,4,0
1,1,12,1,0
1,1,12,5,0
3,1,15,5,0
29,43,6,3,1
1,1,9,1,0
1,1,10,1,0
2,1,13,2,0
1,1,10,2,0
1,1,20,0,0
2,1,10,0,0
1,1,13,0,0
1,1,17,6,0
1,1,16,4,0
2,1,13,4,0
1,1,16,3,0
1,1,8,0,0
13,39,22,5,1
1,1,15,2,0
1,1,18,0,0
3,1,17,4,0
1,1,15,2,0
1,1,11,0,0
1,1,13,0,0
48,25,3,2,1
1,1,1,3,0
1,1,14,0,0
1,1,18,3,0
1,1,19,0,0
1,1,19,2,0
19,4,23,6,1
25,48,2,0,1
1,1,4,3,0
1,1,15,4,0
2,1,8,1,0
1,1,13,3,0
1,1,13,4,0
1,1,14,3,0
2,1,14,5,0
1,1,18,2,0
1,1,8,2,0
76,1,13,5,1
1,1,11,1,0
1,1,15,4,0
1,1,12,4,0
2,1,15,0,0
1,1,15,5,0
15,48,7,6,1
3,1,11,4,0
1,1,11,2,0
2,1,11,2,0
40,1,5,4,1
1,1,23,0,0
1,1,8,3,0
3,1,18,3,0
1,1,10,1,0
1,1,12,4,0
1,1,18,3,0
20,43,23,2,1
1,1,11,2,0
1,1,13,6,0
3,1,20,2,0
1,1,10,2,0
1,1,12,0,0
1,1,8,0,0
1,1,16,2,0
1,1,8,0,0
1,1,10,2,0
1,1,14,1,0
1,1,8,3,0
1,1,16,1,0
36,2,2,6,1
1,1,12,1,0
29,1,12,0,1
1,1,9,3,0
3,1,9,1,0
1,1,13,2,0
1,1,15,4,0
2,1,14,5,0
1,1,13,3,0
1,1,15,2,0
1,1,10,1,0
97,1,10,5,1
36,2,1,3,1
1,1,8,4,0
1,1,10,3,0
21,1,9,5,1
1,1,16,3,0
1,1,14,3,0
1,1,17,1,0
1,1,1,2,0
1,1,11,0,0
14,5,5,6,1
93,1,0,3,1
1,1,14,0,0
2,1,16,0,0
1,1,19,2,0
1,1,13,4,0
1,1,11,4,0
1,1,10,2,0
1,1,15,2,0
1,1,17,3,0
1,1,12,0,0
3,1,14,3,0
1,1,12,5,0
1,1,15,4,0
1,1,18,2,0
1,1,17,3,0
1,1,16,2,0
60,1,7,1,1
1,1,12,1,0
1,1,14,1,0
1,1,16,4,0
19,5,3,5,1
63,1,13,3,1
1,1,18,4,0
22,43,5,0,1
1,1,10,4,0
1,1,9,0,0
2,1,9,1,0
1,1,16,5,0
3,1,22,3,0
1,1,15,1,0
3,1,18,6,0
1,1,18,1,0
1,1,16,3,0
5,2,1,5,1
2,1,13,2,0
42,1,19,3,1
30,13,21,0,1
1,1,10,3,0
1,1,8,1,0
1,1,10,4,0
1,1,8,0,0
21,40,23,4,1
1,1,7,3,0
13,11,0,0,1
1,1,18,3,0
1,1,9,1,0
1,1,6,0,0
1,1,10,0,0
1,1,16,3,0
1,1,11,4,0
1,1,8,4,0
7,3,1,5,1
2,1,13,0,0
88,2,1,1,1
2,1,17,2,0
9,1,7,6,1
1,1,8,2,0
1,1,11,1,0
1,1,18,3,0
1,1,19,4,0
59,1,14,1,1
1,1,16,2,0
1,1,17,2,0
1,1,18,3,0
1,1,8,0,0
1,1,13,0,0
1,1,13,1,0
1,1,17,1,0
1,1,11,0,0
8,1,20,5,1
43,14,5,4,1
1,1,9,2,0
1,1,9,5,0
75,1,4,1,1
1,1,8,5,0
1,1,13,1,0
1,1,20,0,0
1,1,11,3,0
1,1,15,0,0
1,1,9,4,0
1,1,7,2,0
2,1,13,2,0
2,1,10,0,0
5,2,4,5,1
2,1,17,4,0
1,1,15,1,0
1,1,17,2,0
1,1,2,2,0
1,1,14,4,0
1,1,16,3,0
19,1,4,5,1
1,1,17,4,0
58,1,5,0,1
12,2,23,5,1
1,1,16,1,0
1,1,12,4,0
1,1,1,1,0
24,41,3,1,1
1,1,22,4,0
45,1,3,4,1
2,1,17,3,0
1,1,13,0,0
1,1,8,4,0
1,1,14,0,0
15,1,6,5,1
1,1,11,3,0
1,1,17,3,0
1,1,19,2,0
1,1,19,3,0
1,1,18,3,0
1,1,11,2,0
1,1,12,1,0
2,1,18,3,0
3,1,18,4,0
1,1,13,4,0
28,23,7,1,1
92,1,12,4,1
2,1,16,1,0
20,1,0,6,1
1,1,8,4,0
1,1,11,3,0
1,1,13,3,0
1,1,16,2,0
1,1,19,6,0
2,1,13,2,0
1,1,11,2,0
1,1,10,2,0
1,1,12,1,0
15,3,0,6,1
1,1,10,0,0
2,1,19,0,0
1,1,13,5,0
1,1,16,2,0
1,1,15,0,0
1,1,8,1,0
1,1,19,2,0
2,1,19,4,0
12,5,2,6,1
1,1,9,3,0
1,1,12,0,0
1,1,8,3,0
2,1,14,1,0
1,1,9,0,0
2,1,19,1,0
1,1,13,1,0
1,1,10,4,0
1,1,9,4,0
43,1,1,1,1
1,1,14,1,0
1,1,16,3,0
1,1,21,4,0
86,1,22,2,1
1,1,17,1,0
12,2,7,5,1
1,1,13,4,0
2,1,19,1,0
2,1,14,0,0
1,1,13,4,0
1,1,15,1,0
1,1,17,4,0
2,1,9,2,0
1,1,17,3,0
1,1,12,3,0
47,1,15,6,1
13,5,7,6,1
1,1,15,2,0
91,1,9,3,1
1,1,18,1,0
13,17,2,2,1
1,1,18,2,0
1,1,14,1,0
2,1,16,4,0
1,1,18,4,0
16,1,0,5,1
26,10,21,2,1
2,1,7,1,0
1,1,18,1,0
1,1,10,0,0
1,1,16,1,0
1,1,13,4,0
1,1,17,4,0
2,1,11,4,0
1,1,8,2,0
1,1,14,0,0
2,1,10,0,0
1,1,17,1,0
1,1,10,3,0
2,1,11,0,0
1,1,19,5,0
1,1,9,4,0
1,1,19,2,0
1,1,21,5,0
1,1,18,0,0
1,1,12,2,0
7,3,1,6,1
1,1,19,3,0
1,1,15,2,0
1,1,18,3,0
1,1,8,4,0
59,1,4,0,1
14,2,4,6,1
1,1,2,0,0
1,1,10,3,0
1,1,13,1,0
1,1,14,4,0
1,1,15,1,0
1,1,17,0,0
1,1,8,2,0
1,1,19,2,0
1,1,14,2,0
1,1,13,0,0
1,1,8,0,0
1,1,10,6,0
16,2,3,6,1
36,24,5,6,1
1,1,20,4,0
3,1,15,2,0
1,1,17,4,0
29,36,3,1,1
2,1,16,1,0
44,12,23,6,1
2,1,15,0,0
1,1,15,3,0
71,1,11,0,1
42,23,23,1,1
1,1,16,4,0
1,1,11,3,0
1,1,16,2,0
1,1,5,1,0
1,1,8,1,0
1,1,14,3,0
1,1,15,5,0
1,1,14,3,0
2,1,16,6,0
1,1,9,0,0
6,5,4,6,1
1,1,20,3,0
2,1,16,3,0
2,1,23,5,0
21,1,6,0,1
1,1,17,0,0
63,1,8,4,1
1,1,18,2,0
1,1,19,2,0
18,3,22,5,1
1,1,13,6,0
32,2,9,3,1
78,2,12,4,1
1,1,5,0,0
1,1,16,1,0
1,1,19,2,0
2,1,13,1,0
1,1,12,2,0
2,1,15,4,0
1,1,14,2,0
1,1,14,2,0
1,1,14,1,0
1,1,16,5,0
11,3,3,5,1
10,1,5,6,1
3,1,11,3,0
1,1,18,3,0
37,1,18,6,1
3,1,18,4,0
3,1,16,2,0
1,1,9,0,0
1,1,3,3,0
1,1,9,1,0
1,1,17,0,0
21,1,13,0,1
1,1,8,3,0
3,1,9,3,0
1,1,16,6,0
1,1,11,1,0
1,1,0,1,0
1,1,16,3,0
44,1,3,1,1
2,1,13,4,0
1,1,23,2,0
2,1,13,3,0
1,1,9,2,0
20,3,21,5,1
25,1,15,6,1
2,1,15,3,0
1,1,18,0,0
1,1,15,0,0
1,1,13,6,0
3,1,14,2,0
1,1,10,0,0
1,1,13,3,0
1,1,8,0,0
1,1,18,4,0
23,1,6,6,1
3,1,19,3,0
20,16,22,1,1
1,1,10,4,0
12,2,22,5,1
20,47,3,2,1
1,1,10,2,0
1,1,18,0,0
1,1,8,0,0
1,1,15,1,0
2,1,18,2,0
1,1,10,0,0
2,1,18,4,0
1,1,18,5,0
33,45,7,1,1
1,1,13,1,0
1,1,3,0,0
1,1,8,0,0
2,1,12,1,0
15,4,2,6,1
1,1,14,0,0
1,1,16,2,0
9,1,21,6,1
2,1,16,3,0
3,1,8,2,0
2,1,2,2,0
1,1,14,4,0
1,1,14,5,0
2,1,14,4,0
2,1,17,3,0
1,1,17,5,0
1,1,19,1,0
1,1,14,4,0
1,1,15,1,0
1,1,19,0,0
1,1,9,0,0
1,1,17,4,0
1,1,1,2,0
1,1,16,3,0
1,1,12,2,0
1,1,15,4,0
1,1,13,2,0
1,1,17,0,0
2,1,12,4,0
1,1,14,4,0
1,1,17,4,0
1,1,10,4,0
1,1,18,3,0
1,1,19,0,0
1,1,9,3,0
1,1,13,5,0
75,2,5,1,1
1,1,16,0,0
2,1,16,0,0
11,2,2,6,1
2,1,8,1,0
1,1,10,6,0
1,1,12,3,0
1,1,20,2,0
39,32,3,4,1
1,1,17,5,0
28,22,22,6,1
1,1,18,2,0
1,1,18,4,0
27,1,13,2,1
19,2,5,6,1
2,1,18,4,0
1,1,16,1,0
1,1,17,1,0
1,1,21,2,0
1,1,15,0,0
2,1,9,3,0
1,1,11,3,0
